0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4550 -DL -O11111114 -fo20 -N"C:\Users\Felipe - Oficina\Documents\Programação\PIC\alternador de sinais\selector_signal.mcppi" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Users\Felipe - Oficina\Documents\Programação\PIC\alternador de sinais\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -IP"C:\Users\Felipe - Oficina\Documents\Programação\PIC\alternador de sinais\" "button.c" "menu.c" "projeto_menus.c" "view.c" "interrupcaoTMR0.c" "interrupcaoTMR1.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CString.mcl" "__Lib_Conversions.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl"	 
hint: 0	1139	Available RAM: 2027 [bytes], Available ROM: 32768 [bytes]	 
diagnostics: 0	122	Compilation Started	menu.h
diagnostics: 103	123	Compiled Successfully	button.c
diagnostics: 0	122	Compilation Started	menu.h
diagnostics: 132	123	Compiled Successfully	menu.c
diagnostics: 0	122	Compilation Started	header.h
diagnostics: 99	123	Compiled Successfully	projeto_menus.c
diagnostics: 0	122	Compilation Started	menu.h
diagnostics: 219	123	Compiled Successfully	view.c
diagnostics: 0	122	Compilation Started	header.h
diagnostics: 57	123	Compiled Successfully	interrupcaoTMR0.c
diagnostics: 0	122	Compilation Started	header.h
diagnostics: 79	123	Compiled Successfully	interrupcaoTMR1.c
diagnostics: 0	127	All files Compiled in 343 ms	 
hint: 0	1144	Used RAM (bytes): 88 (4%)  Free RAM (bytes): 1939 (96%)	Used RAM (bytes): 88 (4%)  Free RAM (bytes): 1939 (96%)
hint: 0	1144	Used ROM (bytes): 3862 (12%)  Free ROM (bytes): 28906 (88%)	Used ROM (bytes): 3862 (12%)  Free ROM (bytes): 28906 (88%)
diagnostics: 0	125	Project Linked Successfully	selector_signal.mcppi
diagnostics: 0	128	Linked in 125 ms	 
diagnostics: 0	129	Project 'selector_signal.mcppi' completed: 500 ms	 
diagnostics: 0	103	Finished successfully: 02 set 2020, 17:07:31	selector_signal.mcppi
